objectid,filename,title,date,location,document type,format,condition,behavior,medicine,clothing type,clothing color pattern
SDHC006,20230704_232702.mp4,Seizure Example 2,7/4/2023,"Bloomington, IN",smartphone video,video/mpeg,Myelopathy,stumbling; walking,Levetiracetam,,
SDHC008,a.jpg,Yeast Infection Loss of Hair 1,5/21/2021,"Columbia, MO",photograph,image/jpeg,Seborrhoeic Dermatitis,sleeping; laying down,Anti-Infective Agents,,
SDHC009,A.pdf,Immunotherapy/Hyposensitization Schedule,,,,application/pdf,,,Allergy Shot; Hypodermic Syringes,,
SDHC013,ae.jpg,Cataracts Example 3,7/6/2023,"Bloomington, IN",photograph,image/jpeg,Cataract,laying down,,,
SDHC017,aj.jpg,Apoquel and Dosage,,,photograph,image/jpeg,,,Apoquel,,
SDHC018,ak.jpg,Galliprant and Dosage,,,photograph,image/jpeg,,,Grapiprant,,
SDHC019,al.jpg,Gabapentin and Dosage,,,photograph,image/jpeg,,,Gabepentin,,
SDHC020,am.jpg,Amitriptyline and Dosage,,,photograph,image/jpeg,,,Amitriptyline,,
SDHC021,ao.jpg,Allergy Shot Syringe Type,,,photograph,image/jpeg,,,Hypodermic Syringes; Allergy Shot,,
SDHC022,ap.jpg,Duoxo S3 Antiseptic Mousse - Front,,,photograph,image/jpeg,,,Anti-Infective Agents,,
SDHC023,aq.jpg,Duoxo S3 Antiseptic Mousse - Back,,,photograph,image/jpeg,,,Anti-Infective Agents,,
SDHC024,ar.jpg,Dasuquin with MSM - Front,,,photograph,image/jpeg,,,Glucosamine,,
SDHC025,as.jpg,Dasuquin with MSM - Back,,,photograph,image/jpeg,,,Glucosamine,,
SDHC026,at.jpg,Dasuquin with MSM - Directions for Use,,,photograph,image/jpeg,,,Glucosamine,,
SDHC027,au.jpg,MaxxiSAMe Formula - Front,,,photograph,image/jpeg,,,Glucosamine,,
SDHC028,av.jpg,MaxxiSAMe Formula - Back,,,photograph,image/jpeg,,,Glucosamine,,
SDHC029,aw.jpg,MaxxiSAMe Formula - Directions for Use,,,photograph,image/jpeg,,,Glucosamine,,
SDHC030,ax.jpg,Dog Socks 1,,,photograph,image/jpeg,,,,socks,grey; metallic
SDHC031,ay.jpg,Dog Socks 2,,,photograph,image/jpeg,,,,socks,grey; metallic
SDHC032,az.jpg,Black Fleece Zipper Onesie,,,photograph,image/jpeg,,,,one-piece sleeping suit,black
SDHC033,b.jpg,Yeast Infection Loss of Hair 2,5/24/2021,"Columbia, MO",photograph,image/jpeg,Seborrhoeic Dermatitis,sleeping; laying down,Anti-Infective Agents,,
SDHC034,ba.jpg,Blue Velcro Onesie,,,photograph,image/jpeg,,,,one-piece sleeping suit,blue
SDHC035,bb.jpg,Teal Zipper Onesie,,,photograph,image/jpeg,,,,one-piece sleeping suit,blue
SDHC036,c.jpg,Yeast Infection Recover - Hair Regrowth 1,6/6/2021,"Columbia, MO",photograph,image/jpeg,Regrowth,laying down,,,
SDHC037,C.pdf,Immunotherapy Instructions,9/26/2023,,pdf; treatment instructions,application/pdf,,,Hypodermic Syringes; Allergy Shot,,
SDHC038,d.jpg,Yeast Infection Recover - Hair Regrowth 2,6/6/2021,"Columbia, MO",photograph,image/jpeg,Regrowth,laying down,,,
SDHC039,D.pdf,Neurological Exam Veterinary Notes,5/12/2023,"Indianapolis, IN",pdf; veterinary diagnosis,application/pdf,Seizures,,Levetiracetam,,
SDHC040,e.jpg,Yeast Infection Recover - Hair Regrowth 3,7/25/2021,"Columbia, MO",photograph,image/jpeg,Regrowth,laying down,,,
SDHC041,E.pdf,Dermititis Diagnosis and Treatment,4/28/2021,,pdf; veterinary medical record,application/pdf,,,Anti-Infective Agents,,
SDHC043,g.jpg,Yeast Infection Recover - Hair Regrowth 5,11/1/2021,"Columbia, MO",photograph,image/jpeg,Regrowth,sleeping; laying down,,,
SDHC049,G.pdf,Example Cost of Medication - Ursodiol,9/28/2023,,pdf; veterinary receipt,application/pdf,,,,,
SDHC051,H.pdf,Example Cost of Medication - Immunotherapy,9/19/2023,,pdf; veterinary receipt,application/pdf,,,,,
SDHC052,I.pdf,Neurological Recheck Exam Veterinary Notes,7/6/2023,"Indianapolis, IN",pdf; veterinary diagnosis,application/pdf,Seizures,,Levetiracetam,,
SDHC054,J.pdf,Internal Medicine Exam Notes,7/12/2023,"Indianapolis, IN",pdf; veterinary diagnosis,application/pdf,Gastrointestinal Inflammation,,,,
SDHC055,j.jpg,Cataracts Example 4,1/4/2023,"Bloomington, IN",photograph,image/jpeg,Cataract,laying down,,one-piece sleeping suit,"red, black, and yellow tartan"
SDHC059,m.jpg,Full Body 5,2/19/2023,"Bloomington, IN",photograph,image/jpeg,,sleeping; laying down,,one-piece sleeping suit,yellow and black stripes
SDHC060,n.jpg,Wearing Dog Socks 1,3/5/2023,"Bloomington, IN",photograph,image/jpeg,,standing,,one-piece sleeping suit; socks,blue; metallic; grey
SDHC061,o.jpg,Wearing Dog Socks 2,3/16/2023,"Bloomington, IN",photograph,image/jpeg,,sleeping; laying down,,one-piece sleeping suit; socks,blue; multicolored
SDHC064,q.jpg,Beginning of Yeast Infection,3/27/2023,"Bloomington, IN",photograph,image/jpeg,Seborrhoeic Dermatitis,standing,Anti-Infective Agents,,
SDHC065,r.jpg,Ralphie and Me,8/18/2016,"Columbia, MO",photograph,image/jpeg,,,,,
SDHC066,s.jpg,Generic Schnauzer Condition,,,photograph,image/jpeg,,,,,
SDHC067,t.jpg,Generic Schnauzer,,,photograph,image/jpeg,,,,,
SDHC068,u.jpg,Generic Schnauzer Behavior,,,photograph,image/jpeg,,,,,
SDHC069,v.jpg,Generic Schnauzer Medication,,,photograph,image/jpeg,,,,,
SDHC070,x.jpg,Ralphie for About Page,,,photograph,image/jpeg,,,,,
SDHC071,y.jpg,Ursodiol and Dosage,,"Bloomington, IN",photograph,image/jpeg,Gastrointestinal Inflammation,,Ursodiol,,
SDHC072,z.jpg,Allergy Antigen Shot,,,photograph,image/jpeg,Chronic Allergies,,Allergy shot; Hypodermic Syringes,,
SDHC073,w.jpg,Royal Canin Gastrointestinal Low Fat Loaf,,,pdf; dog food label,application/pdf,Gastrointestinal Inflammation,,,,
